Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Southern Severe Storms and Flooding (April 1980),Flooding,19800410,19800417,2523.1,7
Hurricane Allen (August 1980),Tropical Cyclone,19800807,19800811,2106.4,13
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,19800601,19801130,35771.4,1260
Florida Freeze (January 1981),Freeze,19810112,19810114,1824.7,0
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1280.5,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,1953,85
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,19820402,19820404,1425.1,33
Severe Storms (June 1982),Severe Storm,19820531,19820610,1416,30
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,19821201,19830115,4531.4,45
Western Storms and Flooding (December 1982-March 1983),Flooding,19821213,19830331,4423.9,50
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,19830820,8520,21
Southeast Drought (Summer 1983),Drought,19830601,19830831,8418.1,0
Freeze / Cold Wave (December 1983),Freeze,19831215,19831225,5696.8,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1646.4,80
Severe Storms and Hail (June 1984),Severe Storm,19840613,19840617,1218.1,1
Florida Freeze (January 1985),Freeze,19850120,19850122,3156,0
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2201.2,150
Hurricane Elena (September 1985),Tropical Cyclone,19850830,19850903,3412.1,4
Hurricane Gloria (September 1985),Tropical Cyclone,19850926,19850928,2251.6,11
Hurricane Juan (October 1985),Tropical Cyclone,19851027,19851031,3936.3,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,19851103,19851108,3570,62
Western Severe Storms and Flooding (February 1986),Severe Storm,19860214,19860216,1345.8,13
Southeast Drought/Heat Wave (Summer 1986),Drought,19860601,19860831,4581.2,100
U.S. Drought/Heat Wave (Summer 1988),Drought,19880601,19880831,48009.2,454
Severe Storms (May 1989),Severe Storm,19890501,19890506,1268.5,21
Hurricane Hugo (September 1989),Tropical Cyclone,19890921,19890922,20699.8,86
Northern Plains Drought (Summer-Fall 1989),Drought,19890601,19891130,6907.3,0
Florida Freeze (December 1989),Freeze,19891223,19891225,4600,10
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1564.3,100
Southern Flooding (May 1990),Flooding,19900511,19900519,2195.1,13
Colorado Hail Storm (July 1990),Severe Storm,19900711,19900711,1787.7,0
California Freeze (December 1990),Freeze,19901218,19901225,7412,0
"Severe Storms, Tornadoes (March 1991)",Severe Storm,19910326,19910329,1328.6,0
Hurricane Bob (August 1991),Tropical Cyclone,19910818,19910820,3096.1,18
